,Name,region,release_date,type,score,url
72,暗战,香港,1999-09-23,"['动作', '剧情', '犯罪']",8.4,https://movie.douban.com/subject/1298898/
73,神探,香港,2007-09-06,"['动作', '犯罪', '惊悚']",8.4,https://movie.douban.com/subject/2027938/
74,黄海,韩国,2010-12-22,"['剧情', '动作', '犯罪']",8.4,https://movie.douban.com/subject/3743114/
75,星球大战,美国,1977-05-25,"['动作', '科幻', '冒险']",8.4,https://movie.douban.com/subject/1293838/
76,王牌对王牌,美国,1998-07-29,"['动作', '犯罪', '剧情', '悬疑', '惊悚']",8.4,https://movie.douban.com/subject/1293434/
77,盗火线,美国,1995-12-15,"['剧情', '动作', '犯罪', '惊悚']",8.4,https://movie.douban.com/subject/1295686/
78,天国王朝,美国,2005-05-06,"['剧情', '动作', '历史']",8.4,https://movie.douban.com/subject/1309071/
79,喋血双雄,香港,1989-07-06,"['动作', '犯罪', '剧情', '惊悚']",8.4,https://movie.douban.com/subject/1296519/
80,阿基拉,日本,1988-07-16,"['动作', '科幻', '动画']",8.4,https://movie.douban.com/subject/1302770/
81,荒野大镖客,意大利,1964-09-12,"['动作', '西部']",8.4,https://movie.douban.com/subject/1302522/
82,精武门,香港,1972-03-22,"['动作', '剧情', '爱情', '惊悚']",8.4,https://movie.douban.com/subject/1294991/
83,空山灵雨,香港,1979-07-11,"['剧情', '动作', '武侠', '古装']",8.4,https://movie.douban.com/subject/1301136/
84,红线,日本,2010-10-09,"['动画', '动作', '科幻']",8.4,https://movie.douban.com/subject/3903715/
85,飞行器里的好小伙，或我是怎样花25小时11分从伦敦飞到巴黎,英国,1965-06-03,"['冒险', '喜剧', '动作']",8.4,https://movie.douban.com/subject/1441189/
86,福禄双霸天,美国,1980-06-20,"['喜剧', '动作', '犯罪', '音乐']",8.4,https://movie.douban.com/subject/1297200/
87,忍者小英雄,美国,1992-08-07,"['喜剧', '动作', '运动']",8.4,https://movie.douban.com/subject/1307270/
88,红海行动,中国大陆,2018-02-16,"['动作', '战争']",8.3,https://movie.douban.com/subject/26861685/
89,釜山行,韩国,2016-05-13,"['动作', '惊悚', '灾难']",8.3,https://movie.douban.com/subject/25986180/
90,西游记之大圣归来,中国大陆,2015-07-10,"['喜剧', '动作', '动画', '奇幻']",8.3,https://movie.douban.com/subject/26277313/
91,功夫,中国大陆,2004-12-23,"['动作', '喜剧', '犯罪', '奇幻']",8.3,https://movie.douban.com/subject/1291543/
92,速度与激情7,美国,2015-04-12,"['动作', '犯罪', '惊悚']",8.3,https://movie.douban.com/subject/23761370/
93,金刚狼3：殊死一战,美国,2017-03-03,"['剧情', '动作', '科幻']",8.3,https://movie.douban.com/subject/25765735/
94,碟中谍4,美国,2012-01-28,"['动作', '惊悚', '冒险']",8.3,https://movie.douban.com/subject/3068206/
95,霍比特人3：五军之战,美国,2015-01-23,"['动作', '奇幻', '冒险']",8.3,https://movie.douban.com/subject/2973079/
96,霍比特人2：史矛革之战,美国,2014-02-21,"['动作', '奇幻', '冒险']",8.3,https://movie.douban.com/subject/11606328/
97,蝙蝠侠：侠影之谜,美国,2005-06-29,"['剧情', '动作', '科幻', '犯罪', '惊悚']",8.3,https://movie.douban.com/subject/1309069/
98,热血警探,美国,2007-02-14,"['喜剧', '动作']",8.3,https://movie.douban.com/subject/1806555/
